FlowID,Step,From,To,Action,PrimaryFilesOrModules
E_RETRIEVE_QUERY,10,retrieval,app/core/vectordb/*,Query embeddings collection,vectordb adapters
E_RETRIEVE_QUERY,11,retrieve_api.py,app/core/llms/* (optional),generate_answer or HyDE,app/core/llms/*.py
E_RETRIEVE_QUERY,12,retrieve_api.py,apiClient,RetrieveResponse JSON,—
F_RAG_QUERY,1,User,dashboard or client,Submit RAG query,—
F_RAG_QUERY,2,apiClient,rag_api.py,POST /api/v2/rag/query,app/api/v2/rag_api.py
F_RAG_QUERY,3,rag_api.py,tenant_validator.py,_validated_tenant,app/utils/tenant_validator.py
F_RAG_QUERY,4,rag_api.py,security_middleware.scan_text,PII + injection gate,app/middleware/security_middleware.py
F_RAG_QUERY,5,rag_api.py,pipeline_factory.get_cached,Pipeline cache lookup,app/core/pipeline_factory.py
F_RAG_QUERY,6,rag_api.py,client_config_resolver.py,Build-if-missing get_client_config,app/core/config/client_config_resolver.py
F_RAG_QUERY,7,rag_api.py,pipeline object,pipeline.query(...),app/core/rag_pipeline.py (assembled graph)
F_RAG_QUERY,8,pipeline,vectordb + llms,Retrieve + generate,app/core/vectordb/* app/core/llms/*
F_RAG_QUERY,9,rag_api.py,client,RAGQueryResponse,—
